Tipo, Tamanho_Array, Threads, Tempo(ms), Tempo(ns)
Serial,1000,1,3,3555353,
Paralelo,10000,1,71,71759845,
Paralelo,50000,2,160,160073165,
Paralelo,100000,4,188,188790965,
Paralelo,200000,8,256,256721705,
Paralelo,500000,16,974,974630913,
