Tipo,Tamanho_Array,Threads,Tempo(ms),Tempo(ns)
Serial,10000,1,6,6403600,
Serial,50000,1,31,31059656,
Serial,100000,1,60,60961145,
Serial,200000,1,59,59052839,
Serial,500000,1,157,157614951,
Paralelo,10000,2,30,30706377,
Paralelo,50000,4,15,15876954,
Paralelo,100000,8,29,29460381,
Paralelo,200000,10,44,44603544,
Paralelo,500000,16,73,73245546,
