Tipo,Tamanho_Array,Threads,Tempo(ms),Tempo(ns)
Serial,1000,1,14,14408396,
Serial,5000,1,13,13956813,
Serial,10000,1,89,89156902,
Serial,20000,1,853,853508387,
Serial,50000,1,4352,4352475250,
Paralelo,1000,1,16,16190578,
Paralelo,5000,2,22,22184847,
Paralelo,10000,4,42,42630536,
Paralelo,20000,8,81,81655949,
Paralelo,50000,16,368,368115546,
