Tipo,Tamanho_Array,Threads,Tempo(ms),Tempo(ns)
Serial,1000,1,0,607628,
Paralelo,10000,1,29,29280641,
Paralelo,50000,2,26,26390429,
Paralelo,100000,4,40,40270261,
Paralelo,200000,8,121,121287022,
Paralelo,500000,16,159,159867288,
