Tipo,Tamanho_Array,Threads,Tempo(ms),Tempo(ns)
Serial,20,1,0,38073,
Paralelo,100,10,6,6800099,
Paralelo,10,2,2,2326270,
Paralelo,100,10,15,15792417,
Paralelo,200,16,5,5477457,
Paralelo,200,16,4,4885427,
